Date,DateTime,FunctionName,Value,Time,shift_wise
03-04-2023,8,Chaser Non Veg,0,8,1
03-04-2023,9,Chaser Non Veg,0,9,1
03-04-2023,9,Chaser Non Veg,0,9,1
03-04-2023,10,Chaser Non Veg,0,10,1
03-04-2023,10,Chaser Non Veg,0,10,1
03-04-2023,11,Chaser Non Veg,0,11,1
03-04-2023,11,Chaser Non Veg,0,11,1
03-04-2023,12,Chaser Non Veg,0,12,1
03-04-2023,12,Chaser Non Veg,0,12,1
03-04-2023,13,Chaser Non Veg,0,13,1
03-04-2023,13,Chaser Non Veg,0,13,1
03-04-2023,14,Chaser Non Veg,0,14,1
03-04-2023,14,Chaser Non Veg,0,14,1
03-04-2023,15,Chaser Non Veg,0,15,1
03-04-2023,15,Chaser Non Veg,0,15,1
03-04-2023,16,Chaser Non Veg,0,16,1
03-04-2023,16,Chaser Non Veg,0,16,1
03-04-2023,17,Chaser Non Veg,0,17,1
03-04-2023,17,Chaser Non Veg,0,17,1
03-04-2023,18,Chaser Non Veg,0,18,1
03-04-2023,18,Chaser Non Veg,0,18,1
03-04-2023,19,Chaser Non Veg,0,19,1
03-04-2023,19,Chaser Non Veg,0,19,1
03-04-2023,20,Chaser Non Veg,0,20,1
03-04-2023,20,Chaser Non Veg,0,20,1
03-04-2023,21,Chaser Non Veg,0,21,1
03-04-2023,21,Chaser Non Veg,0,21,1
03-04-2023,22,Chaser Non Veg,0,22,1
03-04-2023,22,Chaser Non Veg,0,22,1
03-04-2023,23,Chaser Non Veg,0,23,1
03-04-2023,23,Chaser Non Veg,0,23,1
04-04-2023,24,Chaser Non Veg,0,0,1
04-04-2023,24,Chaser Non Veg,0,0,1
04-04-2023,25,Chaser Non Veg,0,1,1
04-04-2023,25,Chaser Non Veg,0,1,1
04-04-2023,26,Chaser Non Veg,0,2,1
04-04-2023,26,Chaser Non Veg,0,2,1
04-04-2023,27,Chaser Non Veg,0,3,1
04-04-2023,27,Chaser Non Veg,0,3,1
04-04-2023,28,Chaser Non Veg,0,4,1
04-04-2023,28,Chaser Non Veg,0,4,1
04-04-2023,29,Chaser Non Veg,0,5,1
04-04-2023,29,Chaser Non Veg,0,5,1
03-04-2023,6,Maintenance,0,6,1
03-04-2023,7,Maintenance,0,7,1
03-04-2023,8,Maintenance,0,8,1
03-04-2023,9,Maintenance,0,9,1
03-04-2023,10,Maintenance,0,10,1
03-04-2023,11,Maintenance,0,11,1
03-04-2023,12,Maintenance,0,12,1
03-04-2023,13,Maintenance,0,13,1
